subject,word,logwordfreq,wordlen,surprisal,tag,wtype
7,said,-6.30066864677689,4,4.7457890576172375,VERB,CONT
15,Brian,-10.094248584451776,5,9.183077764475135,NOUN,CONT
12,in,-3.9285727557862526,2,3.9900115525438022,ADP,FUNC
16,he,-5.13912973886908,2,4.019645822690636,PRON,FUNC
5,Michael,-9.312323241990315,7,8.264944984494688,NOUN,CONT
10,the,-2.785981203659842,3,0.6380693551195801,DET,FUNC
15,up,-6.272347648863022,2,5.341490847025728,PRT,FUNC
5,shook,-9.870574669826274,5,6.336990486130773,VERB,CONT
15,villagers,-11.641970257027317,9,13.123077168799105,NOUN,CONT
12,staff,-8.37866001767327,5,7.627474301499286,NOUN,CONT
12,heard,-8.61548143865161,5,7.266843424234558,VERB,CONT
16,and,-3.6574238363045,3,2.278000391956148,CONJ,FUNC
11,and,-3.6574238363045,3,1.4101998195234595,CONJ,FUNC
15,picked,-9.774204606509906,6,8.0825341934277,VERB,CONT
7,The,-2.785981203659842,3,2.3241603153154,DET,FUNC
16,a,-3.840814668221414,1,1.340302546440532,DET,FUNC
7,and,-3.6574238363045,3,2.2878853897603717,CONJ,FUNC
2,to,-3.655721426481066,2,2.3743336444917404,PRT,FUNC
3,Follow,-9.21348882946346,6,9.363554384064006,ADP,FUNC
3,the,-2.785981203659842,3,2.597477165853793,DET,FUNC
12,removed,-9.702672588504278,7,9.751470894680713,VERB,CONT
10,You,-5.541296313955169,3,4.544427991234908,PRON,FUNC
15,can't,-8.568192280956726,5,4.172076955846841,VERB,CONT
10,do.,-6.638710390580757,3,6.671947539608618,VERB,CONT
1,He,-5.13912973886908,2,3.1317690108321314,PRON,FUNC
15,what,-6.361028664468845,4,5.706634791072723,PRON,FUNC
16,staff,-8.37866001767327,5,7.627474301499286,NOUN,CONT
15,the,-2.785981203659842,3,2.573921720352464,DET,FUNC
5,four,-7.927182458606802,4,7.491138238143108,NUM,FUNC
16,light.,-8.378421507881313,6,7.618655400593118,NOUN,CONT
1,him,-6.48398326121215,3,2.508228967649344,PRON,FUNC
3,the,-2.785981203659842,3,2.763240266698434,DET,FUNC
3,to,-3.655721426481066,2,0.556468042008964,PRT,FUNC
1,eat,-9.717666998238613,3,3.862425312541002,VERB,CONT
11,We,-6.024174973068729,2,4.205326284589675,PRON,FUNC
15,the,-2.785981203659842,3,0.9546471743851455,DET,FUNC
4,him,-6.48398326121215,3,2.4849037806573144,PRON,FUNC
16,like,-6.726824709978813,4,4.533513737894117,ADP,FUNC
12,door,-8.402656341075208,4,0.6143665441722993,NOUN,CONT
4,she,-5.744994531370205,3,1.7766723551691128,PRON,FUNC
1,time,-6.52946432032608,4,6.8918213901386185,NOUN,CONT
7,too,-7.3217095981968185,3,3.811768440495133,ADV,CONT
3,have,-5.486617238622331,4,3.4770186196756585,VERB,CONT
15,All,-5.970976358312091,3,5.239624482511671,DET,FUNC
15,but,-5.482403115092916,3,8.211709217144666,CONJ,FUNC
16,smoking,-10.477417687004566,7,11.424506197399257,VERB,CONT
1,"man,",-7.494806134333096,4,6.799602857164206,NOUN,CONT
2,my,-6.608684049596997,2,7.20856499553088,PRON,FUNC
3,John,-8.075991337090935,4,7.097925781812516,NOUN,CONT
15,waited,-10.174003977082393,6,4.419604853343701,VERB,CONT
7,in,-3.9285727557862526,2,3.538889081124409,ADP,FUNC
16,came,-7.737934174541397,4,3.755930751990028,VERB,CONT
7,been,-5.948284300135172,4,2.1368104792239393,VERB,CONT
4,paid,-8.83876102485142,4,6.336990486130773,VERB,CONT
16,before,-7.079546193145498,6,6.678855294887598,ADP,FUNC
16,I,-5.250051055056003,1,4.137330946793561,PRON,FUNC
